2026-04-30T14:24:25: PM2 log: ===============================================================================
2026-04-30T15:15:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:15:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:15:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:15:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:16:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:16:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:16:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:16:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:17:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:17:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:17:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:17:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:18:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:18:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:18:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:18:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:19:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:19:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:19:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:19:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:20:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:20:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:20:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:20:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:21:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:21:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:21:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:21:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:22:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:22:26: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:22:56: PM2 error: Error caught while calling pidusage
2026-04-30T15:22:56: PM2 error: Error: Error: spawn wmic ENOENT
2026-04-30T15:23:26: PM2 error: Error caught while calling pidusage
2026-04-30T15:23:26: PM2 error: Error: Error: spawn wmic ENOENT
